model_type,setting,sample_id,num_notes,duration,note_density,pitch_range,avg_polyphony,scale_consistency,pitch_entropy,pitch_class_entropy
lstm,creative,19,250,62.5,4.0,52,1.0,0.796,4.582323909032477,3.3178102207721807
lstm,creative,20,250,62.5,4.0,50,1.0,0.808,4.525655451512488,3.3411145956686488
lstm,creative,21,250,62.5,4.0,52,1.0,0.892,4.184133236351181,3.1237592019874776
lstm,creative,22,250,62.5,4.0,52,1.0,0.756,5.095476450613575,3.4555074019097325
lstm,creative,23,250,62.5,4.0,52,1.0,0.852,4.353618200466972,3.2626589056440984
lstm,creative,24,250,62.5,4.0,52,1.0,0.716,4.843832982119659,3.450094332801599
lstm,creative,25,250,62.5,4.0,52,1.0,0.784,4.912424747155014,3.377382482152938
lstm,creative,26,250,62.5,4.0,52,1.0,0.852,4.708993856625991,3.2943174823251757
lstm,creative,27,250,62.5,4.0,50,1.0,0.828,4.362766797241784,3.3271129765809406
lstm,creative,28,250,62.5,4.0,52,1.0,0.824,4.297390265966927,3.2539538360150546
lstm,creative,29,250,62.5,4.0,49,1.0,0.84,4.17316977837807,3.1830686941099566
lstm,creative,30,250,62.5,4.0,51,1.0,0.804,4.355839477895845,3.406738617407777
gru,conservative,1,250,62.5,4.0,19,1.0,0.972,3.219311657294051,2.849444217207003
gru,conservative,2,250,62.5,4.0,21,1.0,0.98,3.546473539448952,2.8401261093827923
gru,conservative,3,250,62.5,4.0,14,1.0,1.0,2.848828543215072,2.5246272720189746
gru,conservative,4,250,62.5,4.0,17,1.0,1.0,2.991775533950893,2.64865758239103
gru,conservative,5,250,62.5,4.0,19,1.0,0.976,3.112878038387546,2.6193733191640667
gru,conservative,6,250,62.5,4.0,13,1.0,1.0,2.5457147605775003,2.3857147605775006
gru,conservative,7,250,62.5,4.0,20,1.0,0.996,2.920804167721258,2.615606866761558
gru,conservative,8,250,62.5,4.0,21,1.0,1.0,3.324278395070503,2.6647252706446034
gru,conservative,9,250,62.5,4.0,19,1.0,0.988,2.964137116609365,2.737731477875712
gru,conservative,10,250,62.5,4.0,17,1.0,0.992,2.841759738352874,2.645159363677803
gru,conservative,11,250,62.5,4.0,17,1.0,1.0,2.9623063906289238,2.7084814768749386
gru,conservative,12,250,62.5,4.0,45,1.0,0.984,3.148808776036933,2.751150724730604
gru,conservative,13,250,62.5,4.0,22,1.0,0.992,3.5159654041424666,2.789428211552105
gru,conservative,14,250,62.5,4.0,21,1.0,1.0,3.194729225296116,2.74563493638555
gru,conservative,15,250,62.5,4.0,17,1.0,0.996,3.012847277457718,2.5076963110711876
gru,conservative,16,250,62.5,4.0,19,1.0,0.952,3.315591943483562,2.834543151600606
gru,conservative,17,250,62.5,4.0,16,1.0,1.0,2.6355760882113244,2.556237372034966
gru,conservative,18,250,62.5,4.0,17,1.0,0.968,3.426243038679366,2.8444584089757265
gru,conservative,19,250,62.5,4.0,17,1.0,0.884,2.994196265402966,2.640669072102108
gru,conservative,20,250,62.5,4.0,17,1.0,1.0,2.855845674677487,2.631762385889132
gru,conservative,21,250,62.5,4.0,17,1.0,0.996,3.0208656189110084,2.6539201546025035
gru,conservative,22,250,62.5,4.0,17,1.0,0.996,2.93297990541642,2.5602300362236496
gru,conservative,23,250,62.5,4.0,21,1.0,1.0,3.2263983646738024,2.6907793827075874
gru,conservative,24,250,62.5,4.0,17,1.0,0.992,2.847783008358621,2.58871975106338
gru,conservative,25,250,62.5,4.0,17,1.0,0.964,3.3631582980410224,2.882595629274222
gru,conservative,26,250,62.5,4.0,21,1.0,0.968,3.4974785617098876,2.8418863503816496
gru,conservative,27,250,62.5,4.0,21,1.0,0.988,3.4255721695156978,2.7866666538637586
gru,conservative,28,250,62.5,4.0,17,1.0,1.0,3.0044131961636222,2.7288339893399076
gru,conservative,29,250,62.5,4.0,17,1.0,0.96,3.2396892006253784,2.806045343539277
gru,conservative,30,250,62.5,4.0,19,1.0,0.964,3.316078926925795,2.8249431656920407
gru,balanced,1,250,62.5,4.0,31,1.0,0.98,3.584226579117462,2.7800979299836235
gru,balanced,2,250,62.5,4.0,48,1.0,0.988,3.4464574246299993,2.837272068888944
gru,balanced,3,250,62.5,4.0,49,1.0,0.908,3.7423196603700064,3.0689684721830046
gru,balanced,4,250,62.5,4.0,45,1.0,0.86,3.9440556484405906,3.1970845965757877
gru,balanced,5,250,62.5,4.0,17,1.0,1.0,3.067601002272249,2.6998845237242493
gru,balanced,6,250,62.5,4.0,16,1.0,0.992,3.1150807728971106,2.7259920990236894
gru,balanced,7,250,62.5,4.0,48,1.0,0.928,3.583459437357413,2.8901402493704675
gru,balanced,8,250,62.5,4.0,34,1.0,0.92,3.8666170727050173,3.0598072069920947
gru,balanced,9,250,62.5,4.0,44,1.0,0.936,3.762446346050181,3.0071168395559726
gru,balanced,10,250,62.5,4.0,16,1.0,0.98,3.102857155955299,2.8025264637132357
gru,balanced,11,250,62.5,4.0,17,1.0,0.988,3.0646076859416147,2.7363421601701288
gru,balanced,12,250,62.5,4.0,19,1.0,0.98,3.387353554453481,2.8738156127404273
gru,balanced,13,250,62.5,4.0,42,1.0,0.992,3.2588345607297877,2.7764689146623054
gru,balanced,14,250,62.5,4.0,17,1.0,1.0,3.2310438004324213,2.748802882984482
gru,balanced,15,250,62.5,4.0,17,1.0,1.0,3.079168454046389,2.686383590048094
gru,balanced,16,250,62.5,4.0,17,1.0,1.0,3.1870846476321444,2.524716931678647
gru,balanced,17,250,62.5,4.0,36,1.0,0.9,3.4771494056987104,2.9853035100418364
gru,balanced,18,250,62.5,4.0,50,1.0,0.94,3.7369329025295577,3.0165552442810672
gru,balanced,19,250,62.5,4.0,44,1.0,0.924,3.735436166633167,3.079434280202541
gru,balanced,20,250,62.5,4.0,30,1.0,1.0,3.2212573689548103,2.5009854878703663
gru,balanced,21,250,62.5,4.0,47,1.0,0.912,3.8059706780451013,3.1173222162234584
gru,balanced,22,250,62.5,4.0,17,1.0,0.94,3.421606231175025,2.9418453009186045
gru,balanced,23,250,62.5,4.0,38,1.0,0.988,3.1246964989488886,2.635357663999021
gru,balanced,24,250,62.5,4.0,46,1.0,0.936,3.4589857211434496,2.9669540547929385
gru,balanced,25,250,62.5,4.0,46,1.0,0.944,3.486388779198823,2.876638694839778
gru,balanced,26,250,62.5,4.0,45,1.0,0.964,3.4477033472695107,2.913217793337731
gru,balanced,27,250,62.5,4.0,45,1.0,0.944,3.7290918054161724,2.9856437056670417
gru,balanced,28,250,62.5,4.0,19,1.0,0.968,3.390398846800216,2.930517316060967
gru,balanced,29,250,62.5,4.0,18,1.0,0.94,3.4666736187419156,3.0227025909804786
gru,balanced,30,250,62.5,4.0,39,1.0,0.988,2.822925612946137,2.4894203936779307
gru,creative,1,250,62.5,4.0,50,1.0,0.724,4.750411403875468,3.4427291701996037
gru,creative,2,250,62.5,4.0,52,1.0,0.824,4.60110979197031,3.2769598260305766
gru,creative,3,250,62.5,4.0,50,1.0,0.756,4.906508090344337,3.4069487950223505
gru,creative,4,250,62.5,4.0,52,1.0,0.716,4.635134611775752,3.448337891230284
gru,creative,5,250,62.5,4.0,50,1.0,0.812,4.323140804286979,3.2822574026150337
gru,creative,6,250,62.5,4.0,51,1.0,0.86,4.139622789339879,3.2359866300025404
gru,creative,7,250,62.5,4.0,50,1.0,0.808,4.6959859995949635,3.391313337438986
gru,creative,8,250,62.5,4.0,52,1.0,0.812,4.341876532541499,3.330173217126529
gru,creative,9,250,62.5,4.0,52,1.0,0.848,4.509132270959027,3.257727528025735
gru,creative,10,250,62.5,4.0,52,1.0,0.8,4.8685650730905765,3.4035476543493117
gru,creative,11,250,62.5,4.0,50,1.0,0.788,4.5079221451739855,3.3353638288544847
gru,creative,12,250,62.5,4.0,52,1.0,0.812,4.358206902587031,3.3219147090898655
gru,creative,13,250,62.5,4.0,52,1.0,0.88,4.454048736675039,3.1698799459557665
gru,creative,14,250,62.5,4.0,49,1.0,0.748,5.162112199890123,3.46071958177529
gru,creative,15,250,62.5,4.0,52,1.0,0.796,4.6291486287115,3.3789302807013004
gru,creative,16,250,62.5,4.0,52,1.0,0.804,4.727314136782869,3.37452627405835
gru,creative,17,250,62.5,4.0,52,1.0,0.872,4.332292716967862,3.217896798063439
gru,creative,18,250,62.5,4.0,50,1.0,0.74,5.190514682351153,3.428699378888458
gru,creative,19,250,62.5,4.0,50,1.0,0.816,4.532600114884695,3.304368543107912
gru,creative,20,250,62.5,4.0,51,1.0,0.868,4.980474301123217,3.2633188490419958
gru,creative,21,250,62.5,4.0,52,1.0,0.76,5.143607905767591,3.4487625588625344
gru,creative,22,250,62.5,4.0,51,1.0,0.796,4.617238250554594,3.294857832310125
gru,creative,23,250,62.5,4.0,52,1.0,0.72,5.203477557301869,3.398532153688829
gru,creative,24,250,62.5,4.0,48,1.0,0.74,5.212892264612486,3.449289222327857
gru,creative,25,250,62.5,4.0,52,1.0,0.768,5.126204881248324,3.387193779461273
gru,creative,26,250,62.5,4.0,51,1.0,0.896,4.229668709286702,3.11824151537898
gru,creative,27,250,62.5,4.0,48,1.0,0.844,4.411165356332925,3.2827973317767265
gru,creative,28,250,62.5,4.0,51,1.0,0.844,4.3905870709035035,3.284521670870442
gru,creative,29,250,62.5,4.0,52,1.0,0.784,5.049911643820932,3.3734649788204543
gru,creative,30,250,62.5,4.0,49,1.0,0.744,4.509527937997105,3.419845445067633
transformer,conservative,1,250,62.5,4.0,17,1.0,0.996,2.5415005158241026,2.3878671871396193
transformer,conservative,2,250,62.5,4.0,14,1.0,1.0,2.2080291213144627,2.0442981350446194
transformer,conservative,3,250,62.5,4.0,16,1.0,1.0,2.6783919382531916,2.3925896886402933
transformer,conservative,4,250,62.5,4.0,17,1.0,1.0,1.8093312914524802,1.7104736587904878
transformer,conservative,5,250,62.5,4.0,14,1.0,1.0,1.671586095494495,1.6036049547081466
transformer,conservative,6,250,62.5,4.0,15,1.0,1.0,2.1182108288142603,1.9708648215361126
transformer,conservative,7,250,62.5,4.0,14,1.0,0.992,1.7925122468338075,1.7406937730642746
transformer,conservative,8,250,62.5,4.0,12,1.0,1.0,2.782410781821782,2.502315714649955
transformer,conservative,9,250,62.5,4.0,14,1.0,1.0,1.438943983980414,1.403409946511902
transformer,conservative,10,250,62.5,4.0,14,1.0,1.0,2.914990858276385,2.659712676159453
transformer,conservative,11,250,62.5,4.0,17,1.0,0.992,2.7094690254367295,2.4483686538953577
transformer,conservative,12,250,62.5,4.0,14,1.0,1.0,2.395362839460086,2.2514964218541804
transformer,conservative,13,250,62.5,4.0,12,1.0,1.0,2.027683209343684,1.9865409780875019
transformer,conservative,14,250,62.5,4.0,12,1.0,1.0,1.5579237172295999,1.5108900169103445
transformer,conservative,15,250,62.5,4.0,20,1.0,0.996,1.6498693228710726,1.4831930938157976
transformer,conservative,16,250,62.5,4.0,15,1.0,0.992,1.8747394917216378,1.8030749038780631
transformer,conservative,17,250,62.5,4.0,17,1.0,1.0,2.3221394567282276,2.188225217531105
transformer,conservative,18,250,62.5,4.0,14,1.0,1.0,2.0849080605014656,1.9794349323016438
transformer,conservative,19,250,62.5,4.0,15,1.0,0.996,1.6975951875357072,1.6353246618745199
transformer,conservative,20,250,62.5,4.0,13,1.0,1.0,1.7955578999968644,1.7520355619119194
transformer,conservative,21,250,62.5,4.0,19,1.0,0.968,2.483892269910238,2.25987738044621
transformer,conservative,22,250,62.5,4.0,12,1.0,1.0,1.6232972021957601,1.5622134260085623
transformer,conservative,23,250,62.5,4.0,12,1.0,1.0,1.9496527757476771,1.868091013608045
transformer,conservative,24,250,62.5,4.0,12,1.0,1.0,2.8300074051216924,2.587577304931307
transformer,conservative,25,250,62.5,4.0,14,1.0,1.0,2.9517497468119487,2.606039716269216
transformer,conservative,26,250,62.5,4.0,17,1.0,0.984,3.034244569205281,2.677125282184707
transformer,conservative,27,250,62.5,4.0,14,1.0,1.0,2.3099169211352626,2.1869518478619203
transformer,conservative,28,250,62.5,4.0,20,1.0,1.0,3.1355507305574553,2.354526225840058
transformer,conservative,29,250,62.5,4.0,14,1.0,0.892,2.973847928793174,2.61022575316545
transformer,conservative,30,250,62.5,4.0,12,1.0,1.0,1.1191078587574272,1.08191241754604
transformer,balanced,1,250,62.5,4.0,13,1.0,0.992,1.8443704827697096,1.816951470880616
transformer,balanced,2,250,62.5,4.0,17,1.0,0.968,3.078857797425858,2.8106195296021586
transformer,balanced,3,250,62.5,4.0,19,1.0,0.992,2.7671215467083496,2.577864586545966
transformer,balanced,4,250,62.5,4.0,45,1.0,0.96,3.415551282489323,2.8603402949182186
transformer,balanced,5,250,62.5,4.0,21,1.0,0.98,3.135778634840386,2.65801468170086
transformer,balanced,6,250,62.5,4.0,23,1.0,0.888,3.552096000273918,3.0952839378419617
transformer,balanced,7,250,62.5,4.0,14,1.0,0.98,2.8490894409156335,2.6745212653290946
transformer,balanced,8,250,62.5,4.0,14,1.0,0.98,2.9897199254367215,2.7052773450693737
transformer,balanced,9,250,62.5,4.0,19,1.0,1.0,3.1507975807710915,2.5209699789040716
transformer,balanced,10,250,62.5,4.0,16,1.0,1.0,3.075567188927367,2.684189104904576
transformer,balanced,11,250,62.5,4.0,19,1.0,0.996,3.0462994729535167,2.707458879457021
transformer,balanced,12,250,62.5,4.0,15,1.0,0.988,2.6771827173232916,2.385076479745266
transformer,balanced,13,250,62.5,4.0,17,1.0,1.0,2.1268159101376245,2.012033154992594
transformer,balanced,14,250,62.5,4.0,14,1.0,1.0,1.9741333734768212,1.865465132393867
transformer,balanced,15,250,62.5,4.0,19,1.0,1.0,3.119015349646681,2.5886165358552695
transformer,balanced,16,250,62.5,4.0,19,1.0,0.992,2.883881297564585,2.6661638707791613
transformer,balanced,17,250,62.5,4.0,17,1.0,0.98,2.592048873522012,2.334005096287064
transformer,balanced,18,250,62.5,4.0,18,1.0,0.976,2.2013603552178167,2.109973780185731
transformer,balanced,19,250,62.5,4.0,21,1.0,0.984,3.0060097920202278,2.682857476763389
transformer,balanced,20,250,62.5,4.0,19,1.0,0.984,3.324423211418909,2.759568684629585
transformer,balanced,21,250,62.5,4.0,21,1.0,0.98,3.355496954483149,2.6310946441921206
transformer,balanced,22,250,62.5,4.0,19,1.0,0.996,2.78512981977647,2.534952278433285
transformer,balanced,23,250,62.5,4.0,19,1.0,0.948,3.1884060135884713,2.8000910464046647
transformer,balanced,24,250,62.5,4.0,19,1.0,0.996,2.4105614106680937,2.2778601514719092
transformer,balanced,25,250,62.5,4.0,26,1.0,0.988,3.5567331590360793,2.642228589947332
transformer,balanced,26,250,62.5,4.0,15,1.0,0.976,2.768784208946052,2.637333549940874
transformer,balanced,27,250,62.5,4.0,19,1.0,0.992,2.476883028354452,2.3034149981023964
transformer,balanced,28,250,62.5,4.0,19,1.0,0.928,3.357669298205576,2.9374028048287233
transformer,balanced,29,250,62.5,4.0,26,1.0,1.0,3.4813682473498453,2.5723934308374656
transformer,balanced,30,250,62.5,4.0,23,1.0,0.948,3.410322211443594,2.7263614589364824
transformer,creative,1,250,62.5,4.0,43,1.0,0.912,3.7852353273651245,3.114003604868901
transformer,creative,2,250,62.5,4.0,43,1.0,0.932,3.6931042247410586,3.0432229430854654
transformer,creative,3,250,62.5,4.0,47,1.0,0.9,4.018855084912664,3.158665485822625
transformer,creative,4,250,62.5,4.0,49,1.0,0.9,4.056981499451414,3.1064305101624927
transformer,creative,5,250,62.5,4.0,49,1.0,0.932,3.8071207638060245,3.0477702599350986
transformer,creative,6,250,62.5,4.0,37,1.0,0.916,3.7860375913993285,3.0066232795853782
transformer,creative,7,250,62.5,4.0,47,1.0,0.924,3.8228504777889585,3.07309618401192
transformer,creative,8,250,62.5,4.0,50,1.0,0.856,4.493154316146932,3.2286823834707956
transformer,creative,9,250,62.5,4.0,52,1.0,0.88,4.045212373781028,3.133100837954874
transformer,creative,10,250,62.5,4.0,48,1.0,0.94,3.87459461944377,3.0168994086803638
transformer,creative,11,250,62.5,4.0,50,1.0,0.92,3.8963084533734595,3.0797789678776524
transformer,creative,12,250,62.5,4.0,47,1.0,0.916,3.9811450207483774,3.0985570806437006
transformer,creative,13,250,62.5,4.0,48,1.0,0.832,4.605477409719019,3.283825633993597
transformer,creative,14,250,62.5,4.0,52,1.0,0.912,4.099218103104612,3.113051214298719
transformer,creative,15,250,62.5,4.0,46,1.0,0.888,4.084903647731108,3.1793365973806544
transformer,creative,16,250,62.5,4.0,50,1.0,0.924,3.837996703316896,2.8969799606429163
transformer,creative,17,250,62.5,4.0,52,1.0,0.852,4.628753516186673,3.2012863490239627
transformer,creative,18,250,62.5,4.0,47,1.0,0.876,4.4066414865726715,3.170709316207204
transformer,creative,19,250,62.5,4.0,43,1.0,0.944,3.703827864238869,2.9686418467223423
transformer,creative,20,250,62.5,4.0,43,1.0,0.908,3.7039078813777015,3.110202238692768
transformer,creative,21,250,62.5,4.0,52,1.0,0.872,4.136665351811993,3.1056630729672268
transformer,creative,22,250,62.5,4.0,48,1.0,0.916,3.6583876099740458,3.043034985535825
transformer,creative,23,250,62.5,4.0,50,1.0,0.916,3.6387495042358173,3.0881308231264173
transformer,creative,24,250,62.5,4.0,50,1.0,0.912,3.5233564634360026,3.047050468951751
transformer,creative,25,250,62.5,4.0,45,1.0,0.964,3.7269576158169206,2.9413567112839454
transformer,creative,26,250,62.5,4.0,45,1.0,0.84,3.987633489210252,3.219931209485616
transformer,creative,27,250,62.5,4.0,45,1.0,0.86,3.812142875211397,3.2256637573476072
transformer,creative,28,250,62.5,4.0,48,1.0,0.928,3.9010082385332776,2.9940416301001234
transformer,creative,29,250,62.5,4.0,46,1.0,0.88,3.7898367429417745,3.151385912899956
transformer,creative,30,250,62.5,4.0,42,1.0,0.924,3.740546525636434,2.978960292369596
