discriminator_type,setting,guidance_strength,sample_id,num_notes,duration,note_density,pitch_range,avg_polyphony,scale_consistency,pitch_entropy,pitch_class_entropy
none,balanced,0,28,250,62.5,4.0,29,1.0,0.988,3.185474602343717,2.794455839044991
none,balanced,0,29,250,62.5,4.0,27,1.0,0.932,3.517535135841055,2.9571308839898083
none,balanced,0,30,250,62.5,4.0,36,1.0,0.98,3.4757496707829585,2.7052092360396927
none,creative,0,1,250,62.5,4.0,52,1.0,0.88,4.411119928560996,3.1792838948973534
none,creative,0,2,250,62.5,4.0,51,1.0,0.852,4.843012586100059,3.267014326782183
none,creative,0,3,250,62.5,4.0,52,1.0,0.876,4.572592515837228,3.1757260146577875
none,creative,0,4,250,62.5,4.0,49,1.0,0.968,3.92423372483048,2.83443908857289
none,creative,0,5,250,62.5,4.0,47,1.0,0.92,3.975985418505216,2.974804034184835
none,creative,0,6,250,62.5,4.0,52,1.0,0.8,4.812732723403687,3.3562955520627686
none,creative,0,7,250,62.5,4.0,52,1.0,0.808,4.284536645819519,3.2895364143999615
none,creative,0,8,250,62.5,4.0,52,1.0,0.732,4.785516354689628,3.411842765870249
none,creative,0,9,250,62.5,4.0,50,1.0,0.724,5.198153990505234,3.458803896624469
none,creative,0,10,250,62.5,4.0,44,1.0,0.772,4.6431577389684575,3.4267382052977244
none,creative,0,11,250,62.5,4.0,51,1.0,0.808,4.312948954490099,3.3012321191495864
none,creative,0,12,250,62.5,4.0,52,1.0,0.716,4.5877183966427655,3.4647698934894122
none,creative,0,13,250,62.5,4.0,52,1.0,0.82,5.131268806892191,3.339965189444947
none,creative,0,14,250,62.5,4.0,52,1.0,0.828,4.353370535997424,3.300495478861779
none,creative,0,15,250,62.5,4.0,49,1.0,0.86,4.215654147784613,3.269945890528134
none,creative,0,16,250,62.5,4.0,52,1.0,0.924,4.196045053473676,3.0797678270377844
none,creative,0,17,250,62.5,4.0,51,1.0,0.788,4.644483495829108,3.3341193854739246
none,creative,0,18,250,62.5,4.0,52,1.0,0.768,4.973458994552673,3.3906881979668584
none,creative,0,19,250,62.5,4.0,47,1.0,0.888,4.378631364272705,3.1912098189847757
none,creative,0,20,250,62.5,4.0,51,1.0,0.744,4.399650272608931,3.4145004618852166
none,creative,0,21,250,62.5,4.0,52,1.0,0.836,4.861199326991816,3.269872949319069
none,creative,0,22,250,62.5,4.0,52,1.0,0.82,4.7773086491985435,3.3040785079849675
none,creative,0,23,250,62.5,4.0,51,1.0,0.716,4.529497593021568,3.4333987855766086
none,creative,0,24,250,62.5,4.0,51,1.0,0.824,4.262846096533927,3.357324757756278
none,creative,0,25,250,62.5,4.0,50,1.0,0.852,4.415154396117099,3.2370702927964596
none,creative,0,26,250,62.5,4.0,52,1.0,0.832,4.871691736410327,3.3080587747995183
none,creative,0,27,250,62.5,4.0,46,1.0,0.836,4.26102440368379,3.256721341090576
none,creative,0,28,250,62.5,4.0,50,1.0,0.8,5.139899262519014,3.3826316514135617
none,creative,0,29,250,62.5,4.0,49,1.0,0.9,4.165939684442845,3.13466284589334
none,creative,0,30,250,62.5,4.0,52,1.0,0.872,4.828510557789273,3.213120286164913
mlp,conservative,0.5,1,250,62.5,4.0,14,1.0,0.984,2.9628339574878035,2.6969480240312276
mlp,conservative,0.5,2,250,62.5,4.0,21,1.0,1.0,3.346462787221059,2.73983975102221
mlp,conservative,0.5,3,250,62.5,4.0,18,1.0,0.996,3.3162705494336095,2.76522442704715
