model_type,setting,sample_id,num_notes,duration,note_density,pitch_range,avg_polyphony,scale_consistency,pitch_entropy,pitch_class_entropy
naive,conservative,1,250,62.5,4.0,17,1.0,1.0,3.179920046624915,2.7098835550579268
naive,conservative,2,250,62.5,4.0,17,1.0,1.0,3.0130290175236283,2.6508115102111693
naive,conservative,3,250,62.5,4.0,21,1.0,1.0,3.157892029820004,2.6731446544333743
naive,conservative,4,250,62.5,4.0,21,1.0,1.0,3.32890649848653,2.697903707601135
naive,conservative,5,250,62.5,4.0,17,1.0,0.996,3.0225689490520056,2.664750844269872
naive,conservative,6,250,62.5,4.0,19,1.0,0.996,3.153798019240669,2.721650484922131
naive,conservative,7,250,62.5,4.0,21,1.0,0.972,3.284371932260334,2.723415538363641
naive,conservative,8,250,62.5,4.0,21,1.0,1.0,3.2057085935872602,2.745943102991815
naive,conservative,9,250,62.5,4.0,17,1.0,0.988,3.0947437277510814,2.712323288253338
naive,conservative,10,250,62.5,4.0,19,1.0,0.996,3.181276717157577,2.759346925157788
naive,conservative,11,250,62.5,4.0,21,1.0,0.988,3.004496056071761,2.660887851023731
naive,conservative,12,250,62.5,4.0,19,1.0,1.0,3.4563143534007468,2.730961724632915
naive,conservative,13,250,62.5,4.0,17,1.0,0.98,3.0075702644615556,2.724291664860815
naive,conservative,14,250,62.5,4.0,19,1.0,0.984,3.272408013671461,2.767530078868665
naive,conservative,15,250,62.5,4.0,17,1.0,1.0,2.6743568812112946,2.554698054374748
naive,conservative,16,250,62.5,4.0,19,1.0,0.996,3.0941904273507754,2.706336023477098
naive,conservative,17,250,62.5,4.0,14,1.0,1.0,2.9014023002460965,2.5904165659501794
naive,conservative,18,250,62.5,4.0,19,1.0,0.992,3.066670042512606,2.7033815948410407
naive,conservative,19,250,62.5,4.0,22,1.0,0.988,3.3190426360114387,2.812483669585299
naive,conservative,20,250,62.5,4.0,17,1.0,1.0,2.931257302262508,2.620058905397216
naive,conservative,21,250,62.5,4.0,21,1.0,0.976,3.435534946183724,2.897071224504567
